zone_id,zone_name,zone_archetype,lat_centroid,lon_centroid,area_km2,ev_registrations,ev_growth_rate_yoy,ev_growth_rate_predicted,population_density,poi_score_weighted,it_park_count,mall_count,hotel_count,metro_count,hospital_count,university_count,petrol_pump_count,footfall_composite,charger_count_total,slow_charger_count,fast_charger_count,google_review_count_total,operators_present,planned_supply_6mo,price_psf_commercial,price_psf_residential,hcpi_estimated,new_projects_pipeline_count,new_projects_pipeline_units,s_score,s_eff,congestion_index,predicted_ci_t12,fast_desert_flag,sessions_per_day_estimate,payback_months_baseline_6sessions,roi_tier,recommended_product,site_score
7,Hoskote,peri_urban_emerging,13.0711,77.7998,4.2,575,1.179,1.196,3200,11.4,0,0,0,0,1,0,1,27,0,0,0,0,,0,4150,2371,0.58,5,2615,0.72,0.1,100.0,101.4,0,3,66.3,LOW,AC 22 kW (residential),84.4
4,Electronic City Phase 1,it_corridor,12.8458,77.6603,2.6,1825,1.206,1.236,8900,42.2,5,2,3,0,1,1,1,72,2,1,1,401,Shell;Chargezone,1,9559,6011,0.51,0,0,0.84,1.39,26.3,27.0,0,11,7.7,HIGH,DC 60 kW (sustained dwell),58.0
1,HSR Layout Sector 1,tech_residential,12.9116,77.6389,2.1,2155,1.262,1.291,14300,28.3,2,1,3,0,2,1,1,75,1,1,0,159,Fortum,0,10968,6115,0.36,0,0,0.89,2.75,19.9,20.4,0,8,11.6,HIGH,DC 60 kW (sustained dwell),50.9
2,Whitefield ITPL,it_corridor,12.9698,77.75,3.4,1706,1.185,1.131,8900,44.0,5,2,3,0,1,1,1,70,4,3,1,702,Fortum;Chargezone,1,9071,5718,0.51,1,489,0.87,2.13,14.4,13.7,0,11,7.7,HIGH,DC 60 kW (sustained dwell),50.3
18,Kengeri,suburb_dense,12.9144,77.4822,2.8,841,1.135,1.148,11200,16.2,0,0,1,0,1,0,1,42,2,1,1,336,Zeon,0,5756,3634,0.52,1,594,0.79,1.15,9.6,9.7,0,5,22.9,LOW,AC 22 kW (residential),47.1
8,Rajajinagar,mixed_commercial,12.9862,77.5517,2.0,1574,1.365,1.306,16900,24.4,1,1,1,1,2,1,2,59,4,2,2,578,Chargezone,0,11028,7086,0.37,0,0,0.92,3.36,16.6,15.9,0,6,17.3,MEDIUM,DC 120 kW (highway fast),45.0
5,Sarjapur Road,residential_new,12.9072,77.6822,2.9,1466,1.221,1.265,9800,29.4,2,1,2,0,2,0,1,64,4,3,1,825,Shell;Chargezone,1,8861,5231,0.47,6,1968,0.83,2.84,11.1,11.5,0,8,11.6,HIGH,DC 60 kW (sustained dwell),44.4
3,Koramangala 5th Block,tech_commercial,12.9279,77.6271,1.8,2367,1.255,1.297,18200,37.7,1,2,4,0,1,1,2,90,3,1,2,927,Tata Power;Zeon,0,14223,9219,0.32,1,364,0.84,4.23,13.9,14.4,0,10,8.7,HIGH,DC 120 kW (highway fast),43.7
9,JP Nagar Phase 1,residential_established,12.9002,77.5929,2.4,1840,1.069,1.101,15200,21.9,1,1,1,0,2,1,1,60,4,3,1,674,Tata Power;Shell;BPCL,0,9641,6325,0.43,1,277,0.85,2.39,5.2,5.4,0,7,13.8,MEDIUM,DC 30 kW (retail dwell),43.7
20,Outer Ring Road,it_highway,12.9141,77.643,2.3,1261,1.171,1.207,9400,34.2,3,1,2,0,1,0,2,66,2,2,0,326,Chargezone,0,12281,8042,0.4,1,233,0.84,2.84,7.4,7.6,0,9,9.9,HIGH,DC 120 kW (highway fast),43.4
