zone_id,zone_name,cds_score,mobile_priority,mobile_product,footfall_composite,ev_density,charger_count_total
20,Devanahalli,37.643,1,160 kW mobile,100.0,2968.0,1
16,JP Nagar,11.927,2,160 kW mobile,93.85,562.5,0
4,MG Road,6.667,3,160 kW mobile,66.8,1225.0,2
12,Hebbal,3.98,4,160 kW mobile,23.88,3918.0,5
3,Indiranagar,2.513,5,120 kW mobile,19.7,1054.88,1
6,Koramangala,2.164,6,160 kW mobile,30.41,621.0,1
9,Marathahalli,1.908,7,120 kW mobile,17.35,1342.0,2
15,HSR Layout,1.795,8,160 kW mobile,27.31,326.62,0
18,Electronic City,1.73,9,120 kW mobile,11.22,666.84,0
8,Jayanagar,1.175,10,120 kW mobile,13.14,417.67,0
5,Rajajinagar,0.328,11,120 kW mobile,8.6,660.94,3
13,Outer Ring Road,0.297,12,120 kW mobile,4.4,333.75,0
10,Bellandur,0.191,13,120 kW mobile,13.79,340.0,4
19,Hoskote,0.168,14,120 kW mobile,7.16,613.6,5
14,Kengeri,0.038,15,120 kW mobile,2.75,179.26,1
17,Yelahanka,0.011,16,160 kW mobile,2.95,117.43,2
1,BTM Layout,0.006,17,160 kW mobile,3.38,109.04,4
2,Tumkur Road,0.005,18,120 kW mobile,1.8,117.69,3
11,Whitefield ITPL,0.005,18,160 kW mobile,1.97,120.51,4
7,Sarjapur Road,0.0,20,160 kW mobile,2.83,73.97,5
